zdid,,,lxid,,,ysfsbm,zdmc
250,NULL,NULL,1,NULL,NULL,1,兰州东
251,NULL,NULL,1,NULL,NULL,1,杭锦后旗
252,NULL,NULL,1,NULL,NULL,1,呼和温都尔
253,NULL,NULL,1,NULL,NULL,1,农垦四团
254,NULL,NULL,1,NULL,NULL,1,毛德呼热
255,NULL,NULL,1,NULL,NULL,1,查干得日斯
256,NULL,NULL,1,NULL,NULL,1,多尔本毛道
257,NULL,NULL,1,NULL,NULL,1,图克木庙
258,NULL,NULL,1,NULL,NULL,1,莫尔格
259,NULL,NULL,1,NULL,NULL,1,格勒
260,NULL,NULL,1,NULL,NULL,1,互做布其
261,NULL,NULL,1,NULL,NULL,1,苏宏图
262,NULL,NULL,1,NULL,NULL,1,阿达日嘎
263,NULL,NULL,1,NULL,NULL,1,塔拉哈尔
264,NULL,NULL,1,NULL,NULL,1,沃博尔
265,NULL,NULL,1,NULL,NULL,1,辉森乌拉西
266,NULL,NULL,1,NULL,NULL,1,天鹅湖
267,NULL,NULL,1,NULL,NULL,1,额济纳
268,NULL,NULL,1,NULL,NULL,1,京津所
269,NULL,NULL,1,NULL,NULL,1,天津西
270,NULL,NULL,1,NULL,NULL,1,杨柳青
271,NULL,NULL,1,NULL,NULL,1,静海
272,NULL,NULL,1,NULL,NULL,1,唐官屯
273,NULL,NULL,1,NULL,NULL,1,青县
274,NULL,NULL,1,NULL,NULL,1,沧州
275,NULL,NULL,1,NULL,NULL,1,泊头
276,NULL,NULL,1,NULL,NULL,1,东光
277,NULL,NULL,1,NULL,NULL,1,吴桥
278,NULL,NULL,1,NULL,NULL,1,德州
279,NULL,NULL,1,NULL,NULL,1,平原
280,NULL,NULL,1,NULL,NULL,1,禹城
281,NULL,NULL,1,NULL,NULL,1,晏城北
282,NULL,NULL,1,NULL,NULL,1,晏城
283,NULL,NULL,1,NULL,NULL,1,桥南
284,NULL,NULL,1,NULL,NULL,1,济南
285,NULL,NULL,1,NULL,NULL,1,党家庄
286,NULL,NULL,1,NULL,NULL,1,泰山
287,NULL,NULL,1,NULL,NULL,1,磁窑
288,NULL,NULL,1,NULL,NULL,1,兖州
289,NULL,NULL,1,NULL,NULL,1,邹城
290,NULL,NULL,1,NULL,NULL,1,滕州
291,NULL,NULL,1,NULL,NULL,1,枣庄西
292,NULL,NULL,1,NULL,NULL,1,灵璧
293,NULL,NULL,1,NULL,NULL,1,泗县
294,NULL,NULL,1,NULL,NULL,1,泗洪
295,NULL,NULL,1,NULL,NULL,1,洋河
296,NULL,NULL,1,NULL,NULL,1,泗阳
297,NULL,NULL,1,NULL,NULL,1,徐州
298,NULL,NULL,1,NULL,NULL,1,符离集
299,NULL,NULL,1,NULL,NULL,1,宿州
300,NULL,NULL,1,NULL,NULL,1,固镇
301,NULL,NULL,1,NULL,NULL,1,凤阳
302,NULL,NULL,1,NULL,NULL,1,明光
303,NULL,NULL,1,NULL,NULL,1,滁州北
304,NULL,NULL,1,NULL,NULL,1,永宁镇
305,NULL,NULL,1,NULL,NULL,1,林场
306,NULL,NULL,1,NULL,NULL,1,南京南
307,NULL,NULL,1,NULL,NULL,1,南京
308,NULL,NULL,1,NULL,NULL,1,浦口
309,NULL,NULL,1,NULL,NULL,1,亭子山
310,NULL,NULL,1,NULL,NULL,1,全椒
311,NULL,NULL,1,NULL,NULL,1,巢北
312,NULL,NULL,1,NULL,NULL,1,肥东
313,NULL,NULL,1,NULL,NULL,1,金寨
314,NULL,NULL,1,NULL,NULL,1,墩义堂
315,NULL,NULL,1,NULL,NULL,1,麻城北
316,NULL,NULL,1,NULL,NULL,1,红安西
317,NULL,NULL,1,NULL,NULL,1,青龙山
318,NULL,NULL,1,NULL,NULL,1,如皋
319,NULL,NULL,1,NULL,NULL,1,涡阳
320,NULL,NULL,1,NULL,NULL,1,袁寨
321,NULL,NULL,1,NULL,NULL,1,颍上
322,NULL,NULL,1,NULL,NULL,1,张集
323,NULL,NULL,1,NULL,NULL,1,六合
324,NULL,NULL,1,NULL,NULL,1,仪征
325,NULL,NULL,1,NULL,NULL,1,扬州
326,NULL,NULL,1,NULL,NULL,1,江都
327,NULL,NULL,1,NULL,NULL,1,泰州
328,NULL,NULL,1,NULL,NULL,1,姜堰
329,NULL,NULL,1,NULL,NULL,1,海安县
330,NULL,NULL,1,NULL,NULL,1,栟茶
331,NULL,NULL,1,NULL,NULL,1,如东
332,NULL,NULL,1,NULL,NULL,1,济南东
333,NULL,NULL,1,NULL,NULL,1,章丘
334,NULL,NULL,1,NULL,NULL,1,淄博
335,NULL,NULL,1,NULL,NULL,1,临淄
336,NULL,NULL,1,NULL,NULL,1,青州市
337,NULL,NULL,1,NULL,NULL,1,昌乐
338,NULL,NULL,1,NULL,NULL,1,潍坊
339,NULL,NULL,1,NULL,NULL,1,高密
340,NULL,NULL,1,NULL,NULL,1,胶州北
341,NULL,NULL,1,NULL,NULL,1,胶州
342,NULL,NULL,1,NULL,NULL,1,蓝村
343,NULL,NULL,1,NULL,NULL,1,即墨
344,NULL,NULL,1,NULL,NULL,1,城阳
345,NULL,NULL,1,NULL,NULL,1,沧口
346,NULL,NULL,1,NULL,NULL,1,四方
347,NULL,NULL,1,NULL,NULL,1,大港
348,NULL,NULL,1,NULL,NULL,1,青岛北
349,NULL,NULL,1,NULL,NULL,1,青岛
350,NULL,NULL,1,NULL,NULL,1,莱西
351,NULL,NULL,1,NULL,NULL,1,莱阳
352,NULL,NULL,1,NULL,NULL,1,海阳
353,NULL,NULL,1,NULL,NULL,1,桃村
354,NULL,NULL,1,NULL,NULL,1,烟台
355,NULL,NULL,1,NULL,NULL,1,袁北
356,NULL,NULL,1,NULL,NULL,1,南通
357,NULL,NULL,1,NULL,NULL,1,诸城
358,NULL,NULL,1,NULL,NULL,1,五莲
359,NULL,NULL,1,NULL,NULL,1,莒县
360,NULL,NULL,1,NULL,NULL,1,沂水
361,NULL,NULL,1,NULL,NULL,1,沂南
362,NULL,NULL,1,NULL,NULL,1,临沂北
363,NULL,NULL,1,NULL,NULL,1,临沂南
364,NULL,NULL,1,NULL,NULL,1,郯城
365,NULL,NULL,1,NULL,NULL,1,新沂西
366,NULL,NULL,1,NULL,NULL,1,水家湖
367,NULL,NULL,1,NULL,NULL,1,合肥南
368,NULL,NULL,1,NULL,NULL,1,合肥
369,NULL,NULL,1,NULL,NULL,1,合肥北城
370,NULL,NULL,1,NULL,NULL,1,淮南东
371,NULL,NULL,1,NULL,NULL,1,三十里铺
372,NULL,NULL,1,NULL,NULL,1,蚌埠
373,NULL,NULL,1,NULL,NULL,1,淮南
374,NULL,NULL,1,NULL,NULL,1,合肥西
375,NULL,NULL,1,NULL,NULL,1,肥西
376,NULL,NULL,1,NULL,NULL,1,舒城
377,NULL,NULL,1,NULL,NULL,1,庐江
378,NULL,NULL,1,NULL,NULL,1,柯坦
379,NULL,NULL,1,NULL,NULL,1,桐城
380,NULL,NULL,1,NULL,NULL,1,安庆西
381,NULL,NULL,1,NULL,NULL,1,天柱山
382,NULL,NULL,1,NULL,NULL,1,太湖
383,NULL,NULL,1,NULL,NULL,1,宿松
384,NULL,NULL,1,NULL,NULL,1,黄梅
385,NULL,NULL,1,NULL,NULL,1,西道口
386,NULL,NULL,1,NULL,NULL,1,良乡
387,NULL,NULL,1,NULL,NULL,1,琉璃河
388,NULL,NULL,1,NULL,NULL,1,涿州
389,NULL,NULL,1,NULL,NULL,1,高碑店
390,NULL,NULL,1,NULL,NULL,1,定兴
391,NULL,NULL,1,NULL,NULL,1,徐水
392,NULL,NULL,1,NULL,NULL,1,保定
393,NULL,NULL,1,NULL,NULL,1,于家庄
394,NULL,NULL,1,NULL,NULL,1,完县
395,NULL,NULL,1,NULL,NULL,1,望都
396,NULL,NULL,1,NULL,NULL,1,清风店
397,NULL,NULL,1,NULL,NULL,1,定州
398,NULL,NULL,1,NULL,NULL,1,寨西店
399,NULL,NULL,1,NULL,NULL,1,承安铺
400,NULL,NULL,1,NULL,NULL,1,新乐
401,NULL,NULL,1,NULL,NULL,1,新安村
402,NULL,NULL,1,NULL,NULL,1,正定
403,NULL,NULL,1,NULL,NULL,1,石家庄
404,NULL,NULL,1,NULL,NULL,1,获鹿所
405,NULL,NULL,1,NULL,NULL,1,元氏
406,NULL,NULL,1,NULL,NULL,1,高邑
407,NULL,NULL,1,NULL,NULL,1,邢台
408,NULL,NULL,1,NULL,NULL,1,沙河市
409,NULL,NULL,1,NULL,NULL,1,邯郸
410,NULL,NULL,1,NULL,NULL,1,马头
411,NULL,NULL,1,NULL,NULL,1,磁县
412,NULL,NULL,1,NULL,NULL,1,安阳
413,NULL,NULL,1,NULL,NULL,1,汤阴
414,NULL,NULL,1,NULL,NULL,1,鹤壁
415,NULL,NULL,1,NULL,NULL,1,卫辉
416,NULL,NULL,1,NULL,NULL,1,新乡
